2024-04-10 19:04:34,311 [background-preinit] INFO  o.h.validator.internal.util.Version - -HV000001: Hibernate Validator 8.0.1.Final
2024-04-10 19:04:34,373 [main] INFO  c.c.b.BikeSalesAndServiceApplication - -Starting BikeSalesAndServiceApplication using Java 17.0.6 with PID 9440 (C:\Users\piotr\Desktop\Java\CodFishBikeSalesAndService\build\classes\java\main started by piotr in C:\Users\piotr\Desktop\Java\CodFishBikeSalesAndService)
2024-04-10 19:04:34,374 [main] INFO  c.c.b.BikeSalesAndServiceApplication - -The following 1 profile is active: "local"
2024-04-10 19:04:35,484 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - -Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-04-10 19:04:35,646 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - -Finished Spring Data repository scanning in 150 ms. Found 15 JPA repository interfaces.
2024-04-10 19:04:36,386 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - -Tomcat initialized with port 8081 (http)
2024-04-10 19:04:36,397 [main] INFO  o.a.coyote.http11.Http11NioProtocol - -Initializing ProtocolHandler ["http-nio-8081"]
2024-04-10 19:04:36,399 [main] INFO  o.a.catalina.core.StandardService - -Starting service [Tomcat]
2024-04-10 19:04:36,400 [main] INFO  o.a.catalina.core.StandardEngine - -Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-04-10 19:04:36,486 [main] INFO  o.a.c.c.C.[.[.[/codfish-bike] - -Initializing Spring embedded WebApplicationContext
2024-04-10 19:04:36,486 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - -Root WebApplicationContext: initialization completed in 2064 ms
2024-04-10 19:04:36,609 [main] INFO  com.zaxxer.hikari.HikariDataSource - -HikariPool-1 - Starting...
2024-04-10 19:04:36,862 [main] INFO  com.zaxxer.hikari.pool.HikariPool - -HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@5cfed0ba
2024-04-10 19:04:36,864 [main] INFO  com.zaxxer.hikari.HikariDataSource - -HikariPool-1 - Start completed.
2024-04-10 19:04:36,953 [main] INFO  o.f.c.i.license.VersionPrinter - -Flyway Community Edition 9.22.3 by Redgate
2024-04-10 19:04:36,953 [main] INFO  o.f.c.i.license.VersionPrinter - -See release notes here: https://rd.gt/416ObMi
2024-04-10 19:04:36,954 [main] INFO  o.f.c.i.license.VersionPrinter - -
2024-04-10 19:04:36,973 [main] INFO  org.flywaydb.core.FlywayExecutor - -Database: jdbc:postgresql://localhost:5432/cod_fish_bike (PostgreSQL 15.2)
2024-04-10 19:04:37,038 [main] INFO  o.f.c.internal.command.DbValidate - -Successfully validated 15 migrations (execution time 00:00.041s)
